Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
09/01/2025,Vente,"243000,00",1540.0,PERREX,1,Maison,101.0,4.0,686.0
03/01/2025,Vente,"387900,00",1600.0,MISERIEUX,1,Maison,133.0,6.0,424.0
13/01/2025,Vente,"58000,00",1260.0,VALROMEY-SUR-SERAN,1,Maison,61.0,4.0,59.0
30/01/2025,Vente,"150000,00",1550.0,COLLONGES,1,Maison,102.0,5.0,551.0
21/01/2025,Vente,"810000,00",1170.0,ECHENEVEX,1,Maison,123.0,5.0,503.0
27/01/2025,Vente,"144000,00",1800.0,VILLIEU-LOYES-MOLLON,1,Maison,90.0,3.0,672.0
10/01/2025,Vente,"360000,00",1310.0,BUELLAS,1,Maison,126.0,4.0,756.0
10/01/2025,Vente,"211446,00",1310.0,SAINT-MARTIN-LE-CHATEL,1,Maison,122.0,7.0,1106.0
09/01/2025,Vente,"185000,00",1960.0,PERONNAS,1,Maison,105.0,5.0,259.0
09/01/2025,Vente,"147440,00",1000.0,BOURG-EN-BRESSE,1,Maison,85.0,4.0,925.0
24/01/2025,Vente,"230000,00",1960.0,PERONNAS,1,Maison,32.0,1.0,731.0
24/01/2025,Vente,"230000,00",1960.0,PERONNAS,1,Maison,108.0,5.0,731.0
28/01/2025,Vente,"279000,00",1370.0,VAL-REVERMONT,1,Maison,165.0,6.0,1361.0
28/01/2025,Vente,"279000,00",1370.0,VAL-REVERMONT,1,Maison,165.0,6.0,700.0
30/01/2025,Vente,"255000,00",1500.0,SAINT-DENIS-EN-BUGEY,1,Maison,65.0,3.0,449.0
31/01/2025,Vente,"215000,00",1250.0,HAUTECOURT-ROMANECHE,1,Maison,120.0,4.0,1290.0
31/01/2025,Vente,"215000,00",1250.0,HAUTECOURT-ROMANECHE,1,Maison,120.0,4.0,500.0
06/01/2025,Vente,"242500,00",1340.0,SAINT-DIDIER-D AUSSIAT,1,Maison,81.0,4.0,1564.0
13/01/2025,Vente,"155000,00",1310.0,POLLIAT,1,Maison,74.0,3.0,510.0
10/01/2025,Vente,"220000,00",1600.0,REYRIEUX,1,Maison,82.0,3.0,178.0
10/01/2025,Vente,"435000,00",1000.0,BOURG-EN-BRESSE,1,Appartement,24.0,1.0,131.0
10/01/2025,Vente,"435000,00",1000.0,BOURG-EN-BRESSE,1,Appartement,66.0,3.0,131.0
10/01/2025,Vente,"435000,00",1000.0,BOURG-EN-BRESSE,1,Appartement,63.0,3.0,131.0
15/01/2025,Vente,"340000,00",1400.0,DOMPIERRE-SUR-CHALARONNE,1,Appartement,90.0,2.0,993.0
15/01/2025,Vente,"340000,00",1400.0,DOMPIERRE-SUR-CHALARONNE,1,Appartement,69.0,2.0,993.0
24/01/2025,Vente,"620000,00",1390.0,SAINT-MARCEL-EN-DOMBES,1,Maison,105.0,5.0,942.0
30/01/2025,Vente,"244550,00",1410.0,MIJOUX,1,Maison,90.0,3.0,1319.0
16/01/2025,Vente,"330000,00",1400.0,NEUVILLE-LES-DAMES,1,Maison,200.0,5.0,4356.0
16/01/2025,Vente,"330000,00",1400.0,NEUVILLE-LES-DAMES,1,Maison,200.0,5.0,1503.0
16/01/2025,Vente,"330000,00",1400.0,NEUVILLE-LES-DAMES,1,Maison,200.0,5.0,1934.0
20/01/2025,Vente,"455000,00",1400.0,CHANOZ-CHATENAY,1,Maison,143.0,4.0,1295.0
20/01/2025,Vente,"455000,00",1400.0,CHANOZ-CHATENAY,1,Maison,143.0,4.0,700.0
17/01/2025,Vente,"120524,00",1460.0,MONTREAL LA CLUSE,1,Maison,83.0,4.0,262.0
23/01/2025,Vente,"185000,00",1510.0,VIRIEU-LE-GRAND,1,Maison,123.0,4.0,180.0
10/01/2025,Vente,"1020000,00",1210.0,FERNEY-VOLTAIRE,1,Maison,140.0,5.0,903.0
10/01/2025,Vente,"1020000,00",1210.0,FERNEY-VOLTAIRE,1,Maison,140.0,5.0,930.0
29/01/2025,Vente,"194000,00",1270.0,COLIGNY,1,Maison,110.0,4.0,1009.0
29/01/2025,Vente,"194000,00",1270.0,COLIGNY,1,Maison,110.0,4.0,671.0
30/01/2025,Echange,"6188,00",1220.0,GRILLY,1,Appartement,76.0,3.0,9.0
30/01/2025,Echange,"6188,00",1220.0,GRILLY,1,Appartement,63.0,3.0,9.0
30/01/2025,Vente,"295000,00",1190.0,OZAN,1,Maison,130.0,5.0,691.0
30/01/2025,Vente,"285000,00",1140.0,SAINT-DIDIER-SUR-CHALARONNE,1,Maison,157.0,5.0,927.0
30/01/2025,Vente,"145000,00",1560.0,SAINT-NIZIER-LE-BOUCHOUX,1,Maison,87.0,2.0,2130.0
22/01/2025,Vente,"244000,00",1580.0,IZERNORE,1,Maison,90.0,4.0,195.0
29/01/2025,Vente,"250000,00",1570.0,FEILLENS,1,Maison,140.0,5.0,791.0
29/01/2025,Vente,"250000,00",1570.0,FEILLENS,1,Appartement,120.0,7.0,791.0
29/01/2025,Vente,"250000,00",1570.0,FEILLENS,1,Appartement,230.0,6.0,791.0
29/01/2025,Vente,"250000,00",1570.0,FEILLENS,1,Appartement,230.0,6.0,370.0
29/01/2025,Vente,"250000,00",1570.0,FEILLENS,1,Maison,140.0,5.0,370.0
29/01/2025,Vente,"250000,00",1570.0,FEILLENS,1,Appartement,120.0,7.0,370.0
27/01/2025,Vente,"645000,00",1170.0,CESSY,1,Maison,100.0,6.0,401.0
15/01/2025,Vente,"680000,00",1210.0,ORNEX,1,Maison,125.0,5.0,583.0
20/01/2025,Vente,"165000,00",1460.0,MONTREAL LA CLUSE,1,Appartement,72.0,2.0,245.0
20/01/2025,Vente,"165000,00",1460.0,MONTREAL LA CLUSE,1,Appartement,59.0,2.0,245.0
20/01/2025,Vente,"165000,00",1460.0,MONTREAL LA CLUSE,1,Appartement,60.0,1.0,245.0
24/01/2025,Vente,"215000,00",1750.0,REPLONGES,1,Maison,89.0,5.0,600.0
24/01/2025,Vente,"215000,00",1750.0,REPLONGES,1,Maison,89.0,5.0,526.0
28/01/2025,Vente,"265000,00",1290.0,SAINT-JEAN-SUR-VEYLE,1,Maison,145.0,5.0,2495.0
28/01/2025,Vente,"265000,00",1290.0,SAINT-JEAN-SUR-VEYLE,1,Maison,63.0,2.0,2495.0
28/01/2025,Vente,"265000,00",1290.0,SAINT-JEAN-SUR-VEYLE,1,Maison,145.0,5.0,2505.0
28/01/2025,Vente,"265000,00",1290.0,SAINT-JEAN-SUR-VEYLE,1,Maison,63.0,2.0,2505.0
28/01/2025,Vente,"130000,00",1130.0,NANTUA,1,Appartement,96.0,4.0,224.0
28/01/2025,Vente,"130000,00",1130.0,NANTUA,1,Appartement,96.0,3.0,224.0
24/01/2025,Vente,"372000,00",1300.0,BELLEY,1,Maison,149.0,5.0,710.0
